,Name of City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
50,Egvekinot,100,RU,1570037841,94,66.32,-179.17,27.88,1.79
51,Sinjar,0,SY,1570037982,80,35.59,37.0,70.0,12.44
52,Severo-Kurilsk,84,RU,1570037825,89,50.68,156.12,48.94,13.71
53,Amasya,0,TR,1570037985,42,40.65,35.83,68.0,4.7
54,Hilo,90,US,1570037648,78,19.71,-155.08,75.2,5.82
55,Cape Town,20,ZA,1570037611,77,-33.93,18.42,66.0,17.22
56,Vila do Maio,90,CV,1570037988,69,15.13,-23.22,81.34,15.77
57,Qaanaaq,87,GL,1570037678,82,77.48,-69.36,26.8,2.57
58,Cidreira,96,BR,1570037608,76,-30.17,-50.22,69.46,13.94
59,Kushiro,29,JP,1570037991,95,43.11,144.15,55.96,2.39
60,Little Current,20,CA,1570037992,62,45.98,-81.93,51.8,13.87
61,Lavrentiya,59,RU,1570037618,97,65.58,-170.99,32.74,6.04
62,Huangchuan,0,CN,1570037995,87,24.57,102.46,63.0,8.95
63,Huarmey,54,PE,1570037996,91,-10.07,-78.15,61.72,14.2
64,Northam,0,AU,1570037628,87,-31.65,116.67,50.0,2.62
65,Novikovo,9,RU,1570037998,71,51.15,37.89,54.16,7.9
66,Puerto Carreno,40,CO,1570037999,52,6.19,-67.49,93.2,4.9
67,Ust-Uda,0,RU,1570038000,86,54.17,103.03,27.52,2.19
68,Castro,40,CL,1570037733,61,-42.48,-73.76,48.2,6.93
69,Waycross,40,US,1570038003,33,31.21,-82.35,93.2,8.05
70,Kaeo,16,NZ,1570038004,91,-35.1,173.78,51.01,7.11
71,Camopi,52,GF,1570038005,28,3.17,-52.33,97.0,5.82
72,Selb,75,DE,1570038006,93,50.17,12.13,46.99,8.05
73,Arraial do Cabo,0,BR,1570037632,61,-22.97,-42.02,77.0,23.04
74,Kedrovyy,0,RU,1570038009,55,56.17,91.82,39.2,4.47
75,Nikolskoye,75,RU,1570037700,81,59.7,30.79,44.6,8.95
76,Butaritari,87,KI,1570037651,63,3.07,172.79,84.94,5.12
77,Rocky Mountain House,100,CA,1570038012,85,52.38,-114.92,40.66,2.51
78,Wagar,7,US,1570038013,51,31.44,-87.99,95.0,1.99
79,Demirci,0,TR,1570038014,62,39.05,28.66,72.0,14.0
80,Alta Floresta,93,BR,1570038016,43,-9.87,-56.08,88.9,3.78
81,Victoria,75,BN,1570037472,94,5.28,115.24,78.8,1.12
82,Vaini,80,IN,1570037602,91,15.34,74.49,76.3,0.78
83,Hobart,90,AU,1570037662,81,-42.88,147.33,54.0,4.7
84,Aklavik,75,CA,1570037798,85,68.22,-135.01,32.0,5.82
85,Mazamari,95,PE,1570038021,88,-11.33,-74.53,46.78,6.38
86,Manzanillo,40,MX,1570038022,74,19.05,-104.32,87.8,9.17
87,Ivanivka,0,UA,1570038023,68,46.71,34.54,59.56,9.57
88,Hualmay,60,PE,1570037897,89,-11.1,-77.61,61.72,14.74
89,Mount Gambier,90,AU,1570037645,87,-37.83,140.78,55.4,12.75
90,Lorengau,58,PG,1570037429,84,-2.02,147.27,77.02,2.68
91,Santa Cecilia,75,CR,1570038028,78,9.85,-84.31,77.0,6.93
92,Morehead,20,US,1570037951,45,38.18,-83.43,91.4,4.7
93,Saurimo,97,AO,1570038030,71,-9.66,20.4,71.8,3.71
94,Shivrajpur,5,IN,1570038031,92,22.42,73.65,75.94,4.83
95,Tucumcari,1,US,1570038032,41,35.17,-103.73,75.2,13.87
96,Torbay,90,CA,1570038034,86,47.66,-52.73,43.0,5.82
97,Jina,86,CN,1570038035,94,34.08,104.41,50.56,0.27
98,Upernavik,51,GL,1570037770,68,72.79,-56.15,36.52,11.7
99,Yar-Sale,100,RU,1570037639,96,66.83,70.83,45.7,18.14
100,Linares,4,CL,1570037831,50,-35.85,-71.6,57.94,4.94
101,New Norfolk,90,AU,1570037599,81,-42.78,147.06,54.0,4.7
102,Cairns,75,AU,1570037895,83,-16.92,145.77,71.6,9.17
103,Hermanus,100,ZA,1570037603,89,-34.42,19.24,63.0,3.0
104,New Glasgow,100,CA,1570038043,93,45.59,-62.65,51.01,8.01
105,Albany,90,US,1570037627,88,42.65,-73.75,73.99,13.87
106,Kaili,100,ID,1570038045,90,-3.46,120.21,59.2,3.2
107,Kavieng,36,PG,1570037600,77,-2.57,150.8,81.16,6.53
108,Dosso,61,NE,1570038047,54,13.05,3.19,85.48,0.96
109,Punta Arenas,75,CL,1570037673,53,-53.16,-70.91,50.0,33.33
110,Casa Nova,13,BR,1570038050,21,-16.03,-44.16,97.0,0.65
111,Portland,90,US,1570038051,82,43.66,-70.25,63.0,5.82
112,Fort Morgan,90,US,1570038052,70,40.25,-103.8,46.4,5.86
113,Rio Largo,20,BR,1570038053,58,-9.48,-35.84,84.2,18.34
114,Fuengirola,0,ES,1570038054,21,36.54,-4.62,84.2,14.99
115,Hobyo,89,SO,1570038055,85,5.35,48.53,78.1,12.62
116,Jamestown,8,AU,1570037632,86,-33.21,138.6,48.4,1.34
117,Lexington,1,US,1570037933,38,38.05,-84.5,93.2,10.29
118,Hithadhoo,15,MV,1570037792,79,-0.6,73.08,82.78,17.98
119,Grand Gaube,75,MU,1570037688,83,-20.01,57.66,75.2,11.41
120,Mnisek pod Brdy,75,CZ,1570038061,87,49.87,14.26,48.99,6.93
121,Pisco,0,PE,1570037860,30,-13.71,-76.2,71.6,10.29
122,Ussel,43,FR,1570038063,98,45.55,2.31,47.68,3.44
123,Khatanga,0,RU,1570037727,82,71.98,102.47,21.22,8.32
124,Moranbah,0,AU,1570038065,94,-22.0,148.04,59.02,13.8
125,Jertih,75,MY,1570038067,88,5.74,102.5,77.0,3.36
126,Codrington,0,AU,1570037786,93,-28.95,153.24,48.99,2.15
127,Gravdal,0,NO,1570037941,76,59.79,5.78,53.6,6.93
128,Atuona,18,PF,1570037484,74,-9.8,-139.03,79.36,12.48
129,Noumea,75,NC,1570037946,82,-22.28,166.46,73.0,2.24
130,Susuman,4,RU,1570038072,88,62.78,148.15,8.8,3.78
131,Silale,100,LT,1570038073,91,55.49,22.18,46.24,4.07
132,Gayny,48,RU,1570038074,83,60.3,54.33,43.36,7.47
133,Chokurdakh,100,RU,1570037705,94,70.62,147.9,22.84,13.14
134,Praxedis Guerrero,40,MX,1570038077,56,31.37,-106.02,73.99,3.36
135,Bedford,40,US,1570038078,55,32.84,-97.14,91.0,10.29
136,Singaparna,86,ID,1570038079,90,-7.35,108.11,67.84,2.1
137,Martapura,24,ID,1570038080,86,-3.41,114.85,76.84,7.07
138,Kez,89,RU,1570038081,96,57.9,53.72,44.8,6.62
139,Tuktoyaktuk,75,CA,1570037634,93,69.44,-133.03,37.4,4.7
140,Gazojak,82,TM,1570038084,29,41.19,61.4,55.06,9.53
141,Kimbe,94,PG,1570038085,92,-5.56,150.15,72.34,2.89
142,Mayumba,74,GA,1570038086,82,-3.44,10.65,76.3,11.74
143,Cabo San Lucas,20,MX,1570037790,58,22.89,-109.91,88.0,4.7
144,Aswan,0,EG,1570037734,16,24.09,32.9,93.2,5.82
145,Harper,40,US,1570037532,42,30.3,-99.24,86.0,10.29
146,Tasiilaq,90,GL,1570037722,69,65.61,-37.64,39.2,32.21
147,Sao Filipe,0,CV,1570037778,82,14.9,-24.5,79.36,15.37
148,Mahibadhoo,99,MV,1570038093,72,3.78,72.97,82.96,5.21
149,Batagay,100,RU,1570038094,49,67.65,134.64,24.46,4.59
150,Zhigansk,62,RU,1570037742,91,66.77,123.37,21.04,6.02
151,Luderitz,0,NA,1570037520,92,-26.65,15.16,55.78,17.4
152,Rudnya,0,RU,1570038097,65,50.8,44.56,52.72,2.37
153,Sola,60,TZ,1570038031,56,-3.17,33.8,75.4,2.98
154,San Pedro,53,AR,1570038100,47,-33.68,-59.66,68.0,5.99
155,Tambun,20,ID,1570037965,78,-6.26,107.07,79.0,3.36
156,Port Elizabeth,20,US,1570037740,43,39.31,-74.98,96.01,8.05
157,Yulara,61,AU,1570037757,14,-25.24,130.99,80.6,9.17
158,Faanui,76,PF,1570037706,76,-16.48,-151.75,76.84,18.57
159,Saint-Augustin,75,CA,1570037932,62,45.63,-73.98,55.99,5.82
160,Segou,97,SN,1570038106,88,12.41,-12.29,79.0,2.42
161,Saint-Philippe,90,CA,1570037599,71,45.36,-73.48,55.99,10.29
162,Yerbogachen,100,RU,1570038109,85,61.28,108.01,28.96,8.7
163,Longyearbyen,75,NO,1570038110,86,78.22,15.63,30.2,11.41
164,Barrow,31,AR,1570037646,40,-38.31,-60.23,56.86,11.65
165,Honiara,40,SB,1570037546,100,-9.43,159.96,73.4,6.35
166,Bethel,90,US,1570037648,93,60.79,-161.76,46.4,8.05
167,Ribeira Grande,40,PT,1570037704,73,38.52,-28.7,71.6,29.97
168,Puerto Ayora,75,EC,1570037324,64,-0.74,-90.35,75.2,17.22
169,Saint George,20,GR,1570037507,69,39.45,22.34,73.4,5.82
170,Wuwei,97,CN,1570038117,47,37.93,102.64,57.58,11.56
171,Hasaki,20,JP,1570038119,93,35.73,140.83,63.0,3.36
172,Larsnes,75,NO,1570038120,76,62.2,5.58,51.01,13.87
173,Magdagachi,0,RU,1570038121,58,53.45,125.8,28.24,6.29
174,Zheleznodorozhnyy,40,RU,1570037911,67,55.75,38.0,61.0,4.47
175,Tuatapere,100,NZ,1570037594,89,-46.13,167.69,42.01,1.99
176,Anadyr,40,RU,1570038124,80,64.73,177.51,30.2,15.66
177,Banyo,50,CM,1570038126,98,6.75,11.81,64.42,2.01
178,Chumphon,29,TH,1570038127,95,10.5,99.18,73.96,2.51
179,Iberia,99,PE,1570037829,58,-11.41,-69.49,82.06,1.85
180,Leningradskiy,100,RU,1570037817,91,69.38,178.42,28.96,15.75
181,Jalu,0,LY,1570037962,26,29.03,21.55,81.16,9.82
182,Oranjemund,0,ZA,1570037697,92,-28.55,16.43,58.12,8.19
183,Mhlume,13,SZ,1570038136,63,-26.03,31.81,64.4,3.36
184,Fort Nelson,75,CA,1570038137,65,58.81,-122.69,46.4,3.36
185,Kasongo-Lunda,94,CD,1570038138,96,-6.48,16.82,69.1,1.54
186,Stauceni,0,MD,1570038139,55,47.09,28.87,66.99,5.82
187,Zabid,96,YE,1570038141,78,14.2,44.5,68.56,1.07
188,Dikson,29,RU,1570037651,78,73.51,80.55,26.8,19.57
189,Houma,67,CN,1570038143,50,35.63,111.36,69.1,6.24
190,Purwa,75,IN,1570038144,94,26.46,80.77,77.0,3.67
191,Lompoc,1,US,1570037545,44,34.64,-120.46,73.4,4.99
192,Clinton,1,US,1570037986,62,41.28,-72.53,88.0,9.17
193,Ilo,90,PE,1570038147,82,-17.65,-71.34,62.6,8.05
194,Dongsheng,0,CN,1570038149,54,29.72,112.52,73.96,2.73
195,Lasa,20,CY,1570038150,69,34.92,32.53,77.0,4.7
196,Isangel,100,VU,1570038151,78,-19.55,169.27,69.46,20.86
197,Kerrville,40,US,1570038137,48,30.05,-99.14,88.0,10.29
198,Vardo,20,US,1570038154,40,39.62,-77.74,91.99,11.41
199,Sitka,100,US,1570038155,61,37.17,-99.65,79.9,12.68
200,Marsh Harbour,0,BS,1570038156,78,26.54,-77.06,80.62,17.49
201,Sri Aman,96,MY,1570038157,100,1.24,111.46,77.0,1.39
202,Lhokseumawe,91,ID,1570038159,90,5.18,97.15,69.82,2.86
203,Shirokiy,72,RU,1570038160,62,53.87,39.17,57.0,3.0
204,Shingu,100,JP,1570038161,96,33.72,135.99,62.44,6.89
205,Belmonte,86,PT,1570038162,45,40.36,-7.35,66.99,4.5
206,Narsaq,75,GL,1570037861,30,60.91,-46.05,53.6,31.09
207,Weiser,1,US,1570038164,57,44.25,-116.97,50.0,7.29
208,Cedar Falls,90,US,1570037868,87,42.53,-92.45,60.01,14.99
209,Bridlington,75,GB,1570038090,66,54.08,-0.19,55.4,4.7
210,Atar,0,MR,1570038168,7,20.52,-13.05,107.44,12.57
211,Iqaluit,75,CA,1570038169,65,63.75,-68.52,41.0,13.87
212,Tadine,98,NC,1570038170,72,-21.55,167.88,67.66,21.61
213,Omsukchan,98,RU,1570037606,87,62.53,155.8,12.22,3.87
214,Ballina,90,IE,1570038172,76,54.11,-9.15,53.01,2.24
215,Chapais,90,CA,1570037618,60,49.78,-74.86,39.2,8.05
216,Maumere,13,ID,1570038175,71,-8.63,122.22,74.32,4.81
217,Liwale,74,TZ,1570038176,81,-9.8,37.92,71.08,8.37
218,Norrtalje,90,SE,1570038177,93,59.76,18.7,45.0,14.99
219,Bell Ville,0,AR,1570038178,22,-32.63,-62.69,72.0,15.99
220,Turukhansk,100,RU,1570038179,97,65.8,87.96,38.32,5.88
221,Namibe,31,AO,1570038180,85,-15.19,12.15,66.22,16.26
222,Ponta do Sol,9,BR,1570037659,28,-20.63,-46.0,87.82,5.46
223,Ladario,96,PT,1570038183,69,40.7,-7.74,66.99,8.01
224,Tarakan,22,ID,1570038181,82,3.3,117.63,77.92,5.37
225,La Rinconada,94,PE,1570038185,92,-14.63,-69.45,41.02,9.37
226,Vila Velha,20,BR,1570038186,48,-3.71,-38.6,86.0,18.34
227,Tabou,65,CI,1570038188,88,4.42,-7.36,76.48,6.62
228,Amboasary,75,MG,1570038189,83,-25.04,46.38,69.8,4.7
229,Bathsheba,40,BB,1570038190,66,13.22,-59.52,87.8,14.99
230,Vila Franca do Campo,40,PT,1570038191,83,37.72,-25.43,75.0,19.46
231,Marsa Matruh,0,EG,1570038192,75,31.35,27.25,77.56,11.32
232,Progreso,90,UY,1570038134,87,-34.68,-56.22,55.99,21.92
233,Avarua,45,CK,1570037605,68,-21.21,-159.78,71.6,4.7
234,Solnechnyy,100,RU,1570038195,91,50.72,136.64,36.88,8.64
235,Bombay,90,US,1570038197,81,44.94,-74.57,53.6,9.17
236,Lebu,75,ET,1570037656,77,8.96,38.73,60.8,6.93
237,Walvis Bay,0,NA,1570038199,77,-22.95,14.51,63.0,11.41
238,Qasigiannguit,75,GL,1570038200,31,68.82,-51.19,50.0,17.22
239,Saint-Pierre,75,FR,1570038201,66,48.95,4.24,57.2,13.87
240,Pedro Juan Caballero,20,PY,1570038202,40,-22.55,-55.74,87.8,11.41
241,Hofn,90,IS,1570038030,92,64.25,-15.21,42.8,5.82
242,Husavik,91,CA,1570038205,82,50.56,-96.99,43.0,6.67
243,Araouane,26,ML,1570038206,13,18.9,-3.53,101.68,8.19
244,Ust-Koksa,0,RU,1570038207,48,50.27,85.62,23.02,2.51
245,Gaoua,82,BF,1570038208,76,10.33,-3.18,79.36,3.22
246,Kudahuvadhoo,88,MV,1570038209,80,2.67,72.89,82.78,16.44
247,Hovd,75,NO,1570037962,87,63.83,10.7,51.01,9.17
248,Kodinsk,100,RU,1570037767,97,58.6,99.18,34.72,10.85
249,Faya,20,SA,1570038213,82,18.39,42.45,68.0,5.82
250,Bambanglipuro,69,ID,1570038214,89,-7.95,110.28,75.4,3.0
251,Abu Dhabi,100,AE,1570038068,75,24.47,54.37,91.4,3.36
252,Presidencia Roque Saenz Pena,94,AR,1570038216,74,-26.79,-60.44,61.72,10.8
253,Savelugu,71,GH,1570038217,72,9.63,-0.83,82.06,2.28
254,Meulaboh,100,ID,1570037494,83,4.14,96.13,78.28,6.6
255,Almaznyy,0,RU,1570038220,67,48.03,40.04,60.8,8.95
256,Koshurnikovo,4,RU,1570038221,81,54.3,93.39,28.78,2.73
257,Kozelsk,86,RU,1570038222,67,54.04,35.77,59.0,6.71
258,Chara,20,GR,1570037902,69,39.42,22.43,73.4,5.82
259,Nanortalik,64,GL,1570037659,62,60.14,-45.24,45.88,1.57
260,College,90,US,1570038019,93,64.86,-147.8,37.4,2.35
261,Siteki,11,SZ,1570038227,72,-26.45,31.95,69.8,6.22
262,Dukat,0,AL,1570038228,79,40.25,19.57,72.0,14.63
263,Kirakira,100,SB,1570038229,89,-10.46,161.92,74.86,6.2
264,Saskylakh,55,RU,1570038230,88,71.97,114.09,16.0,3.85
265,Kieta,99,PG,1570038231,80,-6.22,155.63,79.9,6.96
266,Tartagal,90,AR,1570038233,63,-22.52,-63.8,62.6,9.17
267,Mao,40,DO,1570038234,66,19.55,-71.08,87.8,9.17
268,Mar del Plata,16,AR,1570037692,22,-46.43,-67.52,52.9,11.56
269,Pandan,100,PH,1570038236,76,11.72,122.09,81.7,2.35
270,Basco,90,US,1570038237,88,40.33,-91.2,81.0,3.36
271,Cangzhou,0,CN,1570038238,38,38.3,116.85,69.28,4.92
272,Alice Springs,3,AU,1570038240,29,-23.7,133.88,66.2,9.28
273,Fort Frances,90,CA,1570038241,75,48.61,-93.4,44.01,8.05
274,Gamba,3,CN,1570038242,67,28.28,88.52,37.06,4.34
275,Sasayama,94,JP,1570038243,85,35.07,135.23,75.0,6.17
276,La Ronge,90,CA,1570038244,60,55.1,-105.3,41.0,10.29
277,Puro,99,PH,1570038246,86,13.13,123.76,76.84,3.69
278,Ilulissat,75,GL,1570038247,31,69.22,-51.1,50.0,17.22
279,Kahului,20,US,1570038248,83,20.89,-156.47,78.01,10.29
280,Westport,20,US,1570038249,51,41.14,-73.36,91.99,8.05
281,Surami,0,GE,1570038250,58,42.02,43.56,56.68,4.56
282,Port Hedland,0,AU,1570038251,73,-20.31,118.58,73.4,9.17
283,Carnarvon,45,ZA,1570037624,12,-30.97,22.13,64.78,9.26
284,Elban,100,RU,1570038254,88,50.1,136.51,44.08,14.58
285,Muros,40,ES,1570038255,77,42.77,-9.06,66.99,3.36
286,Skibbereen,75,IE,1570038256,76,51.55,-9.27,50.0,4.7
287,Beringovskiy,77,RU,1570037869,87,63.05,179.32,30.4,2.89
288,Eregli,13,TR,1570038258,41,37.51,34.05,68.74,7.36
289,Maghar,75,IN,1570038259,100,26.75,83.13,77.0,1.12
290,Aleksandrovskoye,0,RU,1570038261,74,56.74,85.39,42.01,8.95
291,Saint Anthony,90,US,1570038262,80,43.97,-111.68,42.01,6.93
292,Kabinda,94,CD,1570038263,83,-6.14,24.49,73.24,4.59
293,Ust-Nera,0,RU,1570038053,78,64.57,143.24,7.9,3.0
294,Hambantota,9,LK,1570038265,78,6.12,81.12,81.88,9.6
295,Quang Ngai,56,VN,1570038267,97,15.12,108.8,69.64,2.15
296,Kolno,75,PL,1570038268,93,53.41,21.93,48.2,6.93
297,Saint-Georges,96,CA,1570038269,17,46.12,-70.67,48.0,1.01
298,Haines Junction,25,CA,1570038270,84,60.75,-137.51,34.0,4.39
299,Marzuq,50,YE,1570038271,54,14.4,46.47,76.66,4.27
300,Chimbote,72,PE,1570038272,91,-9.08,-78.59,61.54,9.1
301,Los Llanos de Aridane,20,ES,1570037540,78,28.66,-17.92,82.99,11.41
302,Kupang,33,ID,1570038275,81,-10.16,123.6,76.12,9.69
303,Hokitika,91,NZ,1570038276,52,-42.72,170.96,44.08,3.02
304,Paracatu,21,BR,1570038277,18,-17.22,-46.87,95.56,5.17
305,Manavgat,40,TR,1570038278,78,36.79,31.44,77.0,1.12
306,Christchurch,17,NZ,1570038093,84,-43.53,172.64,39.2,5.82
307,Kjollefjord,90,NO,1570038281,60,70.95,27.35,39.2,19.46
308,Mnogovershinnyy,48,RU,1570037890,81,53.94,139.92,29.68,3.71
309,Berlevag,75,NO,1570038283,86,70.86,29.09,39.2,21.92
310,Isla Aguada,75,MX,1570038284,66,18.78,-91.49,86.0,6.93
311,Bara,53,NG,1570038285,78,10.41,10.6,77.56,9.33
312,Kiraoli,40,IN,1570038286,100,27.14,77.79,77.0,1.12
313,Kloulklubed,90,PW,1570038150,94,7.04,134.26,77.0,5.82
314,Mount Isa,0,AU,1570037837,14,-20.73,139.49,71.6,4.7
315,Tiksi,100,RU,1570037612,92,71.64,128.87,27.34,22.82
316,Gushikawa,20,JP,1570038291,83,26.35,127.87,80.6,8.05
317,Ninghai,0,CN,1570038292,94,29.29,121.42,73.0,2.24
318,Kawalu,86,ID,1570038293,90,-7.38,108.21,67.84,2.1
319,Brenham,40,US,1570038294,46,30.17,-96.4,93.2,8.05
320,Gewane,100,ET,1570038295,61,10.16,40.66,80.26,2.24
321,Bambous Virieux,75,MU,1570038297,83,-20.34,57.76,75.2,11.41
322,Clyde River,75,CA,1570038210,93,70.47,-68.59,37.4,4.7
323,Nakhon Thai,62,TH,1570038299,90,17.1,100.84,75.04,2.35
324,San Isidro,75,CR,1570038300,73,10.02,-84.06,77.0,10.29
325,Lagoa,79,PT,1570038301,50,37.14,-8.45,77.0,12.75
326,Lukovetskiy,75,RU,1570038303,93,64.29,41.92,35.6,8.95
327,Columbus,40,US,1570038017,43,32.46,-84.99,93.99,6.93
328,Dolores,100,UY,1570038305,79,-33.53,-58.22,57.99,24.0
329,Palaikastron,0,GR,1570038306,77,35.2,26.25,73.99,1.01
330,Kamaishi,99,JP,1570038307,81,39.28,141.86,56.14,0.87
331,North Bend,1,US,1570038308,81,43.41,-124.22,55.99,8.05
332,Sibu,75,MY,1570038310,94,2.29,111.83,77.0,1.12
333,Saint-Francois,90,FR,1570038311,62,46.42,3.91,59.0,9.17
334,Poso,64,ID,1570038312,96,-1.4,120.75,59.2,3.62
335,Souillac,75,FR,1570038313,77,45.6,-0.6,64.0,4.7
336,Mitsamiouli,8,KM,1570038314,79,-11.38,43.28,78.46,13.09
337,Samarinda,75,ID,1570038316,97,-0.5,117.14,73.24,1.68
338,Namatanai,89,PG,1570037777,81,-3.66,152.44,78.46,6.69
339,Lata,16,IN,1570038318,86,30.78,78.62,31.84,1.19
340,Umm Lajj,15,SA,1570038319,79,25.02,37.27,83.5,6.11
341,Makakilo City,40,US,1570037892,74,21.35,-158.09,80.6,11.41
342,Ibiuna,0,BR,1570038295,26,-23.66,-47.22,93.0,8.05
343,Kaseda,5,JP,1570038322,83,31.42,130.32,79.9,23.15
344,Cervo,20,BR,1570037789,30,-22.19,-46.24,86.0,11.18
345,Bosaso,0,SO,1570038325,76,11.28,49.18,85.48,11.05
346,Chumikan,15,RU,1570038326,63,54.72,135.31,28.96,7.2
347,Leh,0,IN,1570038327,32,34.16,77.58,34.18,1.92
348,Klaksvik,40,FO,1570038328,70,62.23,-6.59,46.4,8.05
349,Constitucion,0,MX,1570038329,57,23.99,-104.67,72.0,3.0
350,Laguna,40,BZ,1570038331,62,16.17,-88.94,89.6,6.93
351,Kalmunai,68,LK,1570038332,82,7.42,81.82,76.12,3.13
352,Kabalo,91,CD,1570038333,79,-6.05,26.92,73.6,2.33
353,Camacha,20,PT,1570037708,78,33.08,-16.33,75.2,6.93
354,Moree,0,AU,1570038335,41,-29.46,149.84,60.8,12.75
355,Ketchikan,90,US,1570038336,100,55.34,-131.65,48.2,5.35
356,Kenai,90,US,1570038338,80,60.55,-151.26,43.0,5.66
357,Springbok,0,ZA,1570038339,70,-29.67,17.88,59.74,11.16
358,Medea,20,DZ,1570038340,69,36.27,2.77,77.0,18.34
359,Calbuco,40,CL,1570038341,50,-41.77,-73.13,51.8,5.82
360,Whitecourt,75,CA,1570038342,75,54.14,-115.68,42.8,3.36
361,Ngunguru,17,NZ,1570038342,81,-35.62,174.5,46.99,5.01
362,Saldanha,45,PT,1570037637,39,41.42,-6.55,66.4,3.38
363,Rognan,75,NO,1570038346,56,67.1,15.4,42.01,16.11
364,Limon,90,US,1570038347,76,39.26,-103.69,50.0,5.82
365,Erdenet,77,MN,1570038348,91,49.03,104.04,24.64,5.17
366,Ulaangom,0,MN,1570038349,44,49.98,92.07,30.22,0.56
367,Shenjiamen,0,CN,1570038350,85,29.96,122.3,74.68,4.12
368,Cherskiy,47,RU,1570037832,87,68.75,161.3,19.6,14.07
369,Nata,0,BW,1570038353,44,-20.21,26.19,70.0,20.71
370,Clovis,1,US,1570038084,36,36.83,-119.7,68.0,4.7
371,Jumla,9,NP,1570038355,94,29.28,82.18,45.7,1.72
372,Norman Wells,90,CA,1570037849,100,65.28,-126.83,42.8,2.53
373,Lakes Entrance,0,AU,1570038357,63,-37.88,147.99,53.8,6.02
374,East London,0,ZA,1570038358,72,-33.02,27.91,66.2,9.17
