,Name of City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
119,Aklavik,75,CA,1570040029,85,68.22,-135.01,32.0,5.82
120,East London,0,ZA,1570040030,77,-33.02,27.91,64.4,6.93
121,Dingle,100,PH,1570039848,92,11.0,122.67,73.96,2.01
122,Kodiak,90,US,1570039849,83,39.95,-94.76,78.01,3.36
123,Russell,90,US,1570040034,93,38.9,-98.86,57.0,11.41
124,Codrington,0,AU,1570040035,93,-28.95,153.24,48.99,2.15
125,Nome,75,US,1570040036,59,30.04,-94.42,91.4,6.93
126,Berlevag,75,NO,1570040038,77,70.86,29.09,39.2,20.8
127,Clyde River,75,CA,1570040039,93,70.47,-68.59,37.4,4.7
128,Vila,0,IT,1570039842,60,45.18,8.4,73.4,3.36
129,Pevek,100,RU,1570040045,74,69.7,170.27,30.4,12.3
130,Sonari,84,IN,1570040047,87,27.03,95.02,71.98,1.99
131,Nikolskoye,40,RU,1570039792,87,59.7,30.79,44.01,6.71
132,Mattru,56,SL,1570040050,84,7.62,-11.83,79.18,5.77
133,Port Elizabeth,1,US,1570040051,34,39.31,-74.98,95.0,17.22
134,Fereydun Kenar,0,IR,1570040053,88,36.69,52.52,71.6,4.7
135,Tocopilla,28,CL,1570040054,85,-22.09,-70.2,58.48,18.48
136,Hun,20,BE,1570040055,81,50.34,4.87,50.0,4.7
137,Xam Nua,49,LA,1570040056,97,20.42,104.04,65.32,2.04
138,Shimanovsk,31,RU,1570040058,54,52.0,127.67,32.74,10.76
139,Altay,0,CN,1570040059,41,47.83,88.13,30.76,8.66
140,Grand Forks,90,US,1570040060,75,47.91,-97.06,44.6,6.93
141,Hanumangarh,57,IN,1570040061,43,29.58,74.33,84.94,6.76
142,Sur,65,OM,1570040063,44,22.57,59.53,89.8,8.05
143,Champoton,40,MX,1570040064,66,19.35,-90.72,87.8,6.93
144,Makokou,96,GA,1570040065,97,0.56,12.85,70.9,2.77
145,Namibe,31,AO,1570040066,85,-15.19,12.15,66.22,16.26
146,Progreso,90,UY,1570040068,87,-34.68,-56.22,55.4,21.92
147,Ust-Uda,0,RU,1570040069,86,54.17,103.03,27.52,2.19
148,San Juan,0,AR,1570040070,24,-31.54,-68.53,47.86,8.57
149,Reconquista,100,AR,1570040071,89,-29.14,-59.64,57.22,12.84
150,Sinnamary,0,GF,1570040073,76,5.38,-52.96,82.42,21.23
151,Alofi,89,NU,1570039838,100,-19.06,-169.92,68.0,1.12
152,Castlebar,90,IE,1570040076,81,53.86,-9.3,53.01,2.24
153,Walvis Bay,0,NA,1570040077,77,-22.95,14.51,63.0,11.41
154,Yar-Sale,100,RU,1570040078,96,66.83,70.83,45.7,18.14
155,Shimoda,100,JP,1570040079,85,34.7,138.93,70.0,2.04
156,Bredasdorp,100,ZA,1570040081,82,-34.53,20.04,62.01,8.05
157,Meulaboh,100,ID,1570040082,83,4.14,96.13,78.28,6.6
158,College,90,US,1570039849,93,64.86,-147.8,37.4,2.35
159,Baherden,0,TM,1570040084,34,38.44,57.43,55.24,4.52
160,Yeppoon,14,AU,1570040085,77,-23.13,150.74,64.4,9.17
161,Mugeni,50,RO,1570040087,63,46.26,25.22,64.4,2.24
162,Kaitangata,99,NZ,1570040088,78,-46.28,169.85,39.99,5.99
163,Contamana,96,PE,1570040089,39,-7.35,-75.01,93.76,0.92
164,Pisco,0,PE,1570039956,30,-13.71,-76.2,71.6,10.29
165,Pacific Grove,1,US,1570039875,42,36.62,-121.92,69.01,6.93
166,Houma,67,CN,1570040093,50,35.63,111.36,69.1,6.24
167,Provideniya,89,RU,1570039811,86,64.42,-173.23,36.88,13.18
168,Poum,0,MK,1570040095,67,41.28,20.71,60.8,2.24
169,Lagoa,0,PT,1570040096,44,37.14,-8.45,78.8,13.87
170,Samarai,100,PG,1570040098,93,-10.62,150.67,73.6,6.2
171,Vanimo,58,PG,1570040099,69,-2.67,141.3,83.14,2.53
172,Sao Filipe,0,CV,1570040060,82,14.9,-24.5,79.36,15.37
173,Seoul,90,KR,1570040101,94,37.57,126.98,69.8,12.75
174,Palmas Bellas,20,PA,1570040103,79,9.23,-80.09,86.0,10.29
175,Port Hardy,90,CA,1570040105,87,50.7,-127.42,51.8,13.87
176,Byron Bay,0,AU,1570040106,87,-28.65,153.62,55.0,2.42
177,Pirogovskiy,0,RU,1570040108,67,55.98,37.73,61.0,11.18
178,Coquimbo,0,CL,1570040109,51,-29.95,-71.34,60.8,17.22
179,Belmonte,86,PT,1570040110,60,40.36,-7.35,66.99,4.0
180,Leningradskiy,100,RU,1570040111,91,69.38,178.42,28.96,15.75
181,Heihe,20,RU,1570040113,59,50.24,127.51,35.6,8.95
182,Kushima,65,JP,1570040114,97,31.5,131.29,72.7,2.24
183,Pizarro,60,CO,1570040116,80,4.95,-77.37,79.0,9.55
184,Lompoc,1,US,1570040117,43,34.64,-120.46,75.0,9.17
185,Pishin,10,PK,1570040118,22,30.58,67.0,65.32,4.47
186,Bojnurd,0,IR,1570040119,42,37.47,57.33,62.6,9.17
187,Roebourne,0,AU,1570040121,29,-20.77,117.15,77.56,10.49
188,Mingguang,0,CN,1570040122,80,32.78,118.01,70.54,1.57
189,Cherskiy,47,RU,1570040123,87,68.75,161.3,19.6,14.07
190,Kisangani,19,CD,1570040124,84,0.52,25.21,74.5,2.51
191,Havelock,1,US,1570039863,49,34.88,-76.9,91.99,5.82
192,Bay Roberts,90,CA,1570040127,86,47.58,-53.28,43.0,5.82
193,Aksarka,100,RU,1570040128,95,66.56,67.8,46.96,18.48
194,Biak,87,ID,1570040129,96,-0.91,122.88,60.1,3.49
195,Ucluelet,90,CA,1570040040,87,48.94,-125.55,54.0,3.36
196,Valle de Allende,0,MX,1570040131,57,26.94,-105.39,75.76,5.03
197,Westport,1,US,1570039986,65,41.14,-73.36,91.99,11.41
198,Magadan,85,RU,1570040134,79,59.56,150.8,35.44,6.53
199,Rocha,100,UY,1570040135,88,-34.48,-54.34,52.0,17.29
200,Ust-Maya,93,RU,1570040136,76,60.42,134.54,25.18,6.82
201,Cidreira,96,BR,1570040137,76,-30.17,-50.22,69.46,13.94
202,Pokhara,93,NP,1570040139,84,28.21,83.99,51.82,2.91
203,Izumo,90,JP,1570040140,65,35.37,132.75,77.0,9.17
204,Groton,90,US,1570040141,83,42.61,-71.57,75.0,8.05
205,Lasa,40,CY,1570040142,69,34.92,32.53,75.2,3.36
206,Hay River,75,CA,1570040144,53,60.82,-115.79,51.8,8.05
207,Sal Rei,34,CV,1570040145,83,16.18,-22.92,78.1,14.36
208,Maindang,100,PH,1570040146,92,11.33,122.73,74.32,1.01
209,Monrovia,75,LR,1570040147,79,6.33,-10.8,84.2,9.17
210,Santa Cruz,1,BR,1570040029,39,-6.22,-36.02,87.64,14.41
211,Warud,0,IN,1570040150,93,21.47,78.27,71.08,4.12
212,Sisimiut,100,GL,1570040151,72,66.94,-53.67,39.76,5.03
213,Beloha,100,MG,1570040152,77,-25.17,45.06,70.36,15.52
214,Padang,55,ID,1570040153,84,-0.92,100.36,78.1,14.63
215,Lodja,100,CD,1570040154,92,-3.52,23.6,72.16,0.65
216,Sudak,0,UA,1570040156,59,44.85,34.97,58.3,8.14
217,Cagmanaba,99,PH,1570040157,82,13.06,123.3,79.72,4.29
218,Kars,0,TR,1570040158,40,40.61,43.1,57.0,3.36
219,Zubova Polyana,61,RU,1570040159,74,54.08,42.84,53.08,10.33
220,Nhulunbuy,72,AU,1570040161,94,-12.18,136.78,71.6,13.24
221,Pangnirtung,75,CA,1570040162,86,66.15,-65.72,37.4,5.82
222,Sarangani,39,PH,1570040163,70,5.4,125.46,82.42,4.43
223,Lowestoft,40,GB,1570040164,71,52.48,1.75,52.0,9.17
224,Ahipara,53,NZ,1570040166,92,-35.17,173.16,51.01,19.93
225,Champerico,40,MX,1570040167,62,16.38,-93.6,84.2,5.82
226,Atar,0,MR,1570040168,7,20.52,-13.05,107.44,12.57
227,Mahon,75,IE,1570040169,81,51.89,-8.4,50.0,4.7
228,Mazagao,40,BR,1570040171,49,-0.12,-51.29,93.2,17.22
229,Oistins,40,BB,1570040060,66,13.07,-59.53,87.8,14.99
230,Vila Velha,20,BR,1570040173,51,-3.71,-38.6,86.0,19.46
231,Cururupu,88,BR,1570040174,59,-1.82,-44.87,86.02,7.11
232,Biltine,21,TD,1570040175,30,14.53,20.93,94.48,6.02
233,Betanzos,20,ES,1570040177,77,43.28,-8.21,64.0,4.7
234,San Jose,44,HN,1570040178,46,14.25,-87.96,81.52,4.85
235,Faanui,76,PF,1570040179,76,-16.48,-151.75,76.84,18.57
236,Geraldton,90,CA,1570040180,80,49.72,-86.95,35.6,5.82
237,Tiksi,100,RU,1570039903,92,71.64,128.87,27.34,22.82
238,Saint-Leu,0,RE,1570040183,78,-21.15,55.28,75.2,3.36
239,Esperance,90,AU,1570040184,100,-33.86,121.89,57.2,8.05
240,Beringovskiy,77,RU,1570040185,87,63.05,179.32,30.4,2.89
241,Jinxiang,8,CN,1570040186,52,35.07,116.31,67.3,3.13
242,Cochrane,20,CL,1570040046,37,-47.25,-72.57,50.0,11.41
243,Shingu,100,JP,1570040189,96,33.72,135.99,62.44,6.89
244,Xiuyan,0,CN,1570040190,69,40.29,123.27,59.74,5.23
245,Luanda,75,AO,1570040191,83,-8.83,13.24,77.0,12.75
246,Ostrovnoy,99,RU,1570040192,71,68.05,39.51,35.08,21.3
247,Upernavik,51,GL,1570040193,68,72.79,-56.15,36.52,11.7
248,Nabire,87,ID,1570040195,97,-3.36,135.5,66.76,2.06
249,Verkhoturye,100,RU,1570040196,82,58.86,60.81,50.38,12.59
250,Port Hedland,0,AU,1570040197,78,-20.31,118.58,71.6,9.17
251,Galashiels,20,GB,1570040199,66,55.62,-2.81,53.01,4.7
252,Salalah,20,OM,1570040200,83,17.01,54.1,80.6,4.7
253,Pontian Kecil,75,MY,1570040201,94,1.48,103.39,77.0,3.36
254,Douglas,90,US,1570040202,87,58.28,-134.39,50.0,9.17
255,Kavieng,36,PG,1570040203,77,-2.57,150.8,81.16,6.53
256,General Jose Eduvigis Diaz,100,PY,1570040205,95,-27.17,-58.42,64.24,9.22
257,Sepuka,39,TZ,1570040206,46,-4.75,34.53,74.32,7.05
258,Puerto Madryn,4,AR,1570040207,18,-42.77,-65.04,57.76,11.12
259,Benghazi,0,LY,1570040208,56,32.12,20.07,77.56,4.99
260,Comodoro Rivadavia,20,AR,1570040210,46,-45.87,-67.48,53.6,9.17
261,Vershino-Shakhtaminskiy,69,RU,1570040211,82,51.3,117.89,26.98,1.41
262,Terrak,75,NO,1570040213,81,65.09,12.37,45.0,13.87
263,Ikot Ekpene,100,NG,1570040214,94,5.18,7.71,73.6,7.16
264,Luderitz,0,NA,1570040215,92,-26.65,15.16,55.78,17.4
265,Tawang,71,BT,1570040216,91,27.59,91.87,52.0,3.94
266,Impfondo,74,CD,1570040218,67,1.62,18.06,79.18,2.28
267,Morant Bay,75,JM,1570040219,74,17.88,-76.41,86.0,18.34
268,Dryden,90,CA,1570040002,75,49.79,-92.84,41.0,9.17
269,Kaeo,16,NZ,1570040222,92,-35.1,173.78,51.01,7.11
270,Hami,100,CN,1570040223,24,42.84,93.51,58.48,3.71
271,Deputatskiy,100,RU,1570040224,87,69.3,139.9,20.32,24.11
272,Osmaniye,0,TR,1570040226,73,37.07,36.26,80.01,11.99
273,San Carlos,97,NI,1570040227,1,11.12,-84.78,75.0,4.0
274,Pillaro,75,EC,1570040228,60,-1.17,-78.53,86.0,4.7
275,Caravelas,0,BR,1570039968,57,-17.73,-39.27,75.76,9.06
276,Innisfail,88,AU,1570040231,89,-17.52,146.03,67.66,4.83
277,Souillac,0,FR,1570040232,77,45.6,-0.6,64.0,3.36
278,Fortuna,20,US,1570040232,71,40.6,-124.16,60.01,3.91
279,Elverum,70,NO,1570040234,91,60.88,11.56,46.0,4.32
280,Oruro,40,BO,1570040235,51,-17.97,-67.11,60.8,11.41
281,Makakilo City,75,US,1570040237,88,21.35,-158.09,81.0,3.36
282,Vao,60,EE,1570040238,77,59.1,26.19,44.8,5.17
283,Mongo,91,CD,1570040239,70,-5.62,14.6,78.28,5.48
284,Ballina,90,IE,1570040241,81,54.11,-9.15,53.01,2.24
285,Amapa,40,HN,1570040242,52,15.09,-87.97,91.4,3.36
286,Quatre Cocos,40,MU,1570040243,88,-20.21,57.76,75.2,12.75
287,Rome,40,IT,1570039962,82,41.89,12.48,71.6,3.36
288,Beyla,45,GN,1570040247,96,8.69,-8.65,69.01,1.68
289,Male,23,UA,1570040248,58,50.74,33.7,58.12,13.29
290,Whitehorse,40,CA,1570040249,81,60.72,-135.06,46.0,8.05
291,Nizhniy Kuranakh,62,RU,1570040250,84,58.84,125.49,26.08,6.85
292,Lebanon,1,US,1570040252,38,40.34,-76.42,91.4,18.34
293,Goderich,100,CA,1570040253,88,43.74,-81.71,60.01,11.01
294,Nyuksenitsa,99,RU,1570040254,93,60.41,44.24,47.32,9.62
295,Hambantota,9,LK,1570040255,78,6.12,81.12,81.88,9.6
296,Batemans Bay,0,AU,1570040257,74,-35.71,150.18,48.99,3.11
297,Butembo,48,CD,1570040258,96,0.12,29.29,62.98,2.91
298,Wilmington,1,US,1570040069,36,39.75,-75.55,93.99,17.22
299,Dunedin,99,NZ,1570040030,68,-45.87,170.5,44.01,15.01
300,Tiarei,40,PF,1570040262,65,-17.53,-149.33,78.8,2.24
301,Chiquilistlan,43,MX,1570040263,57,20.09,-103.86,75.76,4.5
302,Yashkul,0,RU,1570040264,58,46.17,45.34,64.42,5.86
303,Kidal,57,ML,1570040265,19,18.44,1.41,94.84,9.69
304,Kingman,1,US,1570040268,14,35.19,-114.05,78.01,4.7
305,Kudahuvadhoo,88,MV,1570040269,80,2.67,72.89,82.78,16.44
306,Pangkalanbuun,66,ID,1570040270,97,-2.68,111.62,73.42,1.03
307,Ust-Ilimsk,94,RU,1570040271,78,57.96,102.73,32.38,9.37
308,Hasaki,40,JP,1570040272,93,35.73,140.83,63.0,2.24
309,Caranavi,80,BO,1570040274,84,-15.83,-67.57,62.08,3.98
310,Bani,9,YE,1570040276,65,16.02,42.93,87.46,1.95
311,Aripuana,68,BR,1570040277,56,-9.17,-60.63,89.62,0.34
312,Atascadero,1,US,1570040279,39,35.49,-120.67,75.0,3.36
313,Narsaq,75,GL,1570040280,30,60.91,-46.05,53.6,32.21
314,Asyut,0,EG,1570040281,42,27.18,31.19,84.2,11.41
315,Kingaroy,1,AU,1570040283,93,-26.54,151.84,52.0,3.36
316,Hope,1,US,1570040284,43,33.67,-93.59,91.99,12.75
317,Longyearbyen,75,NO,1570040285,90,78.22,15.63,32.0,10.29
318,Manggar,72,ID,1570040286,88,-2.88,108.27,75.58,2.28
319,Santiago del Estero,0,AR,1570040287,17,-27.8,-64.26,76.12,13.87
320,Chernogorsk,0,RU,1570040288,85,53.83,91.31,24.8,4.16
321,Neosho,90,US,1570040202,87,43.31,-88.52,60.01,12.75
322,Gizo,20,IL,1570040291,61,31.8,34.94,78.8,3.36
323,Severodvinsk,75,RU,1570040004,93,64.56,39.82,35.6,8.95
324,La Ronge,90,CA,1570040293,60,55.1,-105.3,41.0,10.29
325,Kruisfontein,100,ZA,1570040294,48,-34.0,24.73,64.24,5.59
326,Mehamn,75,NO,1570040296,82,71.03,27.85,39.2,20.8
327,Clinton,1,US,1570040297,62,41.28,-72.53,89.01,5.82
328,Floro,20,NO,1570040298,66,61.6,5.03,53.6,6.93
329,Naze,100,NG,1570040299,96,5.43,7.07,73.24,6.67
330,Manadhoo,1,MV,1570040300,77,5.77,73.38,82.6,8.43
331,Bathsheba,40,BB,1570040302,59,13.22,-59.52,89.6,16.11
332,Gamba,3,CN,1570040303,67,28.28,88.52,37.06,4.34
333,Obo,90,CF,1570040304,91,5.39,26.49,72.34,1.83
334,Klaksvik,40,FO,1570040305,75,62.23,-6.59,44.6,4.7
335,Talnakh,75,RU,1570040306,93,69.49,88.39,33.8,4.47
336,Porto Belo,20,BR,1570040308,83,-27.15,-48.54,84.0,13.87
337,Lorengau,58,PG,1570040309,84,-2.02,147.27,77.02,2.68
338,Chapada dos Guimaraes,0,BR,1570040310,51,-15.46,-55.75,84.2,6.93
339,Santa Maria,0,BR,1570040311,22,-16.02,-48.01,91.4,6.93
340,Marystown,99,CA,1570040077,79,47.17,-55.16,45.16,10.96
341,Oyama,75,JP,1570040314,93,36.31,139.8,78.01,3.36
342,Mizdah,0,LY,1570040315,21,31.45,12.98,79.72,5.61
343,Saint-Francois,0,FR,1570040316,67,46.42,3.91,57.2,6.93
344,Kailua,90,US,1570040317,74,21.39,-157.74,81.0,11.41
345,Maniitsoq,96,GL,1570040318,56,65.42,-52.9,45.16,12.33
346,Moron,71,HT,1570040319,67,18.56,-74.26,86.2,9.04
347,Honiara,40,SB,1570040321,100,-9.43,159.96,73.4,6.35
348,Sheksna,0,RU,1570040322,93,59.21,38.5,42.8,4.47
349,Harper,90,US,1570040323,45,30.3,-99.24,89.6,10.29
350,Lata,16,IN,1570040324,86,30.78,78.62,31.84,1.19
351,Camacha,20,PT,1570040326,78,33.08,-16.33,73.4,5.82
352,Mangai,67,CD,1570040327,97,-4.07,19.59,70.36,1.32
353,Khulo,0,GE,1570040328,88,41.64,42.31,66.2,4.7
354,Hervey Bay,23,AU,1570040329,82,-25.3,152.85,57.99,8.05
355,Sambava,87,MG,1570040330,95,-14.27,50.17,68.2,2.26
356,Moerai,34,PF,1570040332,64,-22.43,-151.33,70.36,11.18
357,Cam Ranh,20,VN,1570040333,88,11.92,109.15,80.6,3.36
358,Port-Gentil,40,GA,1570040334,83,-0.72,8.78,78.8,11.41
359,Pasni,67,PK,1570040335,72,25.26,63.48,82.06,4.59
360,Paptalaya,71,HN,1570040337,51,15.5,-84.32,93.4,1.7
361,Inuvik,75,CA,1570040338,85,68.36,-133.71,32.0,5.82
362,Nongstoin,16,IN,1570040339,93,25.52,91.27,66.76,2.98
363,Kamina,31,CD,1570040340,70,-8.74,25.0,71.62,5.35
364,Santa Rosa,48,AR,1570040342,19,-36.62,-64.29,66.22,10.07
365,Hailun,88,CN,1570040319,65,47.46,126.97,45.16,17.94
366,Seaham,0,AU,1570040344,87,-32.66,151.73,57.0,3.89
367,Boende,25,CD,1570040345,95,-0.28,20.88,73.6,2.73
368,Angoche,80,MZ,1570040347,83,-16.23,39.91,77.74,5.46
369,Morondava,5,MG,1570040348,79,-20.3,44.28,78.64,18.03
370,Along,57,IN,1570040349,95,28.17,94.8,55.24,3.31
371,Vitoria do Mearim,78,BR,1570040350,50,-3.46,-44.87,89.62,4.12
372,Bontang,52,ID,1570040352,98,0.12,117.47,72.88,0.2
373,Najran,20,SA,1570040353,26,17.54,44.22,84.2,9.17
374,Tigzirt,17,DZ,1570040354,84,36.57,4.2,61.18,5.93
